source_type,id,ai_summary,ai_tag,content,created_at,creator,description,image_url,link,pub_date,seq,source_id,source_name,title,updated_at,ai_org,ai_region,article_id,category,country,datatype,is_duplicate,fetched_at,keywords,language,pub_date_tz,sentiment,sentiment_stats,source_icon,source_priority,source_url,video_url
NEWSDATA,719b6763-2364-4d0a-9d4b-87c1f91604ca,You didn't provide the article. Please provide the full text of the article you'd like me to summarize and tag. I'll be happy to assist you.,,ONLY AVAILABLE IN PAID PLANS,,,"Horoscope for Sunday, April 19, 2026 Chicago Sun-Times Horoscopes Today, April 19, 2026 USA Today Your Daily Singles Horoscope for April 19, 2026 Yahoo Horoscope for Saturday, April 18, 2026 Chicago Sun-Times Aries Horoscope Today, April 19, 2026: At work, keep things simple The Times of India",,https://news.google.com/rss/articles/CBMikgFBVV95cUxOc2hoejNFQXh6b1BlaEFrYkhmcU0wQXh2b0RnMnprTFhKY1VVdFNXbFRTUjN0Q3h1Y1UwZmU2bEtpa3d6NjJBZTVxVTZWdGtYRERJdTN6bkVmNjRmaDBiQVIzZlNZTEUxTXpJZ0pXaC1MY0dhbHBpa19GcnJxU1F6T1RIRUZReTM2Rmx3YmFuOFdFQQ?oc=5,,,google,Google News,"Horoscope for Sunday, April 19, 2026 - Chicago Sun-Times",,,,da9a0913d00c1c5ebcbd1114f31b78f1,entertainment,united states of america,,false,,,english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/google.png,14,https://news.google.com,
NEWSDATA,40a94e16-ec88-4913-97ee-b555ab36ff92,"You didn't provide the article. Please go ahead and share it, and I'll be happy to summarize it for you and suggest some relevant tags.",,ONLY AVAILABLE IN PAID PLANS,,,,https://bloximages.newyork1.vip.townnews.com/timesdaily.com/content/tncms/assets/v3/editorial/0/5f/05ff015c-25e4-447d-960e-1165f44d38f0/69e4857f05b25.image.jpg?resize=400%2C267,https://www.timesdaily.com/sports/lucky-spot-larson-looks-to-end-drought-where-hes-won-3-times/article_e7e29b3b-30a2-4268-8799-d974cbe37fe5.html,,,timesdaily,Timesdaily,Lucky spot: Larson looks to end drought where he's won 3 times,,,,c7019148e63f0bc2c6dec5d7d05cc6b7,"top,sports",united states of america,,false,,"nascar races,23xi racing,kyle larson,ryan blaney,denny hamlin,chase elliott,auto races,motorsport,auto racing,nascar cup series,motorsport competitions,stock car races,stock car racing,nascar,seasons in stock car racing,nascar series,nascar seasons,nascar cup series seasons,kevin harvick,motor racing competitions",english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/timesdaily.png,137310,http://www.timesdaily.com,
NEWSDATA,5dd9080a-2ae8-4c72-9fed-26f6c8b53d8d,There is no article provided. Could you please provide the article you would like me to summarize?,,ONLY AVAILABLE IN PAID PLANS,,ahmed barakat,Ex-Treasury Chief Warns of U.S. Bond Market Crash Risk The post Former Treasury Chief Warns Bond Market Crash Could Hit Crypto Outlook appeared first on Cryptonews .,https://cimg.co/wp-content/uploads/2024/11/18063257/1731911576-image-1731911519178_optimized.jpg,https://cryptonews.com/news/treasury-chief-bond-market-crash-crypto-outlook/,,,cryptonews,Cryptonews,Former Treasury Chief Warns Bond Market Crash Could Hit Crypto Outlook,,,,980ec2f47cbfe56dbcbe7418f932252d,business,"south korea,united kingdom,germany,australia,china,france,japan,canada,united states of america,singapore",,false,,bitcoin (btc),english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,,30197,https://cryptonews.com,
NEWSDATA,291b83bb-e352-4f1b-a527-4eeecfc27217,"There is no article provided. Please provide the article, and I'll be happy to summarize it and suggest a few tags.",,ONLY AVAILABLE IN PAID PLANS,,mary papenfuss,"Joe Raedle / Getty Images President Donald Trump is preparing again to poke the bear of irritated voters, lawmakers, and ethics experts by throwing an exclusive Mar-a-Lago “gala” for his biggest crypto coin investors. The top 297 owners of his meme coin $TRUMP have been invited to attend an April 25 “conference” at Mar-a-Lago, including a “gala lunch” with “keynote speaker” Donald J. Trump. According to the invitation , the top 29 holders of $TRUMP will have a “VIP Reception with YOUR FAVORITE PRESIDENT, and other Superstar guests!” Join the “most exclusive crypto and business finance conference in the world ,” the announcement gushes. Read more at The Daily Beast.",https://thedailybeast-thedailybeast-prod.web.arc-cdn.net/resizer/v2/R7BJEVRHPNEKVMGJ527O6OIGPU.jpg?auth=b72e68a8070864547f832dccb8f216371a726123448c1c7ba728f3bfa288ae20&smart=true&width=1722&height=968,https://www.thedailybeast.com/donald-trump-dishing-out-mar-a-lago-feast-to-crypto-grifts-biggest-spenders/,,,thedailybeast,The Daily Beast,Trump Dishing Out Mar-a-Lago Feast to Crypto Grift’s Biggest Spenders,,,,1d6f3c1d66929049a5fefc9259015c05,"politics,top",united states of america,,false,,"trumpland,cryptocurrencies,mar-a-lago,typearticle,donald j. trump,maga,hasjw:body",english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/thedailybeast.png,1258,https://www.thedailybeast.com,
NEWSDATA,0706e1bf-38f1-4991-9c65-9c0e35158878,"However, I don't see an article to summarize. Please provide the article you'd like me to work with, and I'll be happy to:

1. Summarize it
2. Suggest a few tags (comma-separated)",,ONLY AVAILABLE IN PAID PLANS,,"dave eminian,peoria journal star",The Peoria Rivermen ran into a huge outing by Knoxville goaltender Stephen Mundinger and dropped Game 2 of SPHL semifinals.,https://s.yimg.com/ny/api/res/1.2/Yeh.zOvCqVSyFDqPrmOmXw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTI0MDA7aD0xNTA2O2NmPXdlYnA-/https://media.zenfs.com/en/journal-star/dab550a3c3b4a6818d3bfea78036255c,https://sports.yahoo.com/articles/peoria-rivermen-lost-game-2-050856596.html,,,yahoo,Yahoo! News,How the Peoria Rivermen lost Game 2 of the SPHL semifinals to Knoxville,,,,44d15394975ee6d335b0ac131dc28a61,"breaking,sports",united states of america,,false,,"peoria rivermen,mundinger,nick latinovich,knoxville ice bears,sphl,stephen mundinger",english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/yahoo.png,17,https://news.yahoo.com,
NEWSDATA,87182871-dbd4-499a-8cd7-cfc637f12889,"There's no article provided for me to summarize. Please give me the article you would like me to summarize, and I will happily assist you.",,ONLY AVAILABLE IN PAID PLANS,,christine mckee,"B&H's flash Deal Zone offers a $400 discount on Samsung's M8 32-inch 4K Smart Monitor, which pairs well with Macs. Grab Samsung's 32-inch M8 USB-C Monitor for just $299.99 today only. You can pick up the Samsung M8 Smart Monitor for just $299.99 today only during B&H's Deal Zone savings event. Buy Samsung M8 for $299.99 Continue Reading on AppleInsider | Discuss on our Forums",https://photos5.appleinsider.com/gallery/67393-141862-samsung-m8-299-flash-sale-xl.jpg,https://appleinsider.com/articles/26/04/19/bhs-299-samsung-32-inch-m8-usb-c-monitor-deal-ends-today,,,appleinsider,Apple Insider,B&H's $299 Samsung 32-inch M8 USB-C monitor deal ends today,,,,d678750e20dfbd2168226c8a3c58aa33,technology,"india,united kingdom,united states of america,australia,singapore,canada",,false,,,english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/appleinsider.png,8619,https://appleinsider.com,
NEWSDATA,d0df309c-e2db-4b66-a0ac-d99c178a74f7,It seems like there's no text provided. Could you please provide the article you'd like me to summarize? I'll generate tags and provide a summary based on the content.,,ONLY AVAILABLE IN PAID PLANS,,erez aidlin,,https://technicianonline.com/wp-content/uploads/2026/04/ACCChampsvs.UNC_OsuigweShouts2_EA.jpg,https://technicianonline.com/159768/multimedia/gallery/womens-tennis-acc-championship-semifinals-vs-unc/,,,technicianonline,Technician,Women’s Tennis ACC Championship Semifinals versus UNC,,,,6efa4f3ca9f52427e53f0ad8f8a26712,"top,sports",united states of america,,false,,,english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/technicianonline.png,5813905,https://technicianonline.com,
NEWSDATA,b966c89d-e11d-49bd-b3a0-e75c9dc9ed64,"It seems you haven't provided an article for me to summarize. Please paste the article, and I will be happy to assist you.",,ONLY AVAILABLE IN PAID PLANS,,the associated press,"SANDY, Utah (AP) — Sergi Solans had two goals and an assist, Diego Luna added a goal and two assists,...",https://wtop.com/wp-content/themes/wtop-new/assets/img/icons/logo-700x260.gif,https://wtop.com/sports/2026/04/solans-luna-guilavogui-help-rsl-beat-slumping-san-diego-extend-unbeaten-streak-to-6-games/,,,wtop,Wtop News,"Solans, Luna, Guilavogui help RSL beat slumping San Diego, extend unbeaten streak to 6 games",,,,a943a0eef8f1338790c43dcec5e26a26,"sports,top",united states of america,,false,,,english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/wtop.png,17587,https://wtop.com,
NEWSDATA,3a037e61-a3d4-474e-8d32-1941ad0b5bd8,There's no article provided. Could you please paste the article so I can summarize it and suggest some tags?,,ONLY AVAILABLE IN PAID PLANS,,globe staff,"Roughly one-fifth of the world’s oil passes through the strait and further limits would squeeze already constrained supply, driving prices higher once again.",https://bostonglobe-bostonglobe-prod.web.arc-cdn.net/resizer/v2/NGATTHPMLSCP35PX5PJPS76GRY.jpg?auth=8152324ea8c7552a3b188b96722c849c841408cf2383abfe0167d6825744309d&smart=true&width=5184&height=3456,https://www.bostonglobe.com/2026/04/19/nation/us-iran-war-updates/,,,bostonglobe,The Boston Globe,Standoff escalates after Iran closes Strait of Hormuz over US blockade. Follow live updates.,,,,510af77141bf545e9df0ec1e376e1960,"politics,top",united states of america,,false,,,english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/bostonglobe.jpg,2335,https://www.bostonglobe.com,
NEWSDATA,109aa331-6a63-40ba-a2ea-384470924512,"It appears that there is no article provided. Could you please share the article with me, and I'll be happy to summarize it and suggest a few tags for you?",,ONLY AVAILABLE IN PAID PLANS,,danessa lincoln,"Mortgage Advice Bureau (Holdings) plc (LON:MAB1 – Get Free Report) insider Nathan James McLean Imlach bought 352 shares of the stock in a transaction dated Wednesday, April 15th. The shares were acquired at an average price of GBX 576 per share, with a total value of £2,027.52. Nathan James McLean Imlach also recently made the [...]",https://www.marketbeat.com/logos/mortgage-advice-bureau-(holdings)-plc-logo-1200x675.jpg,https://www.themarketsdaily.com/2026/04/19/mortgage-advice-bureau-lonmab1-insider-buys-2027-52-in-stock.html,,,themarketsdaily,Markets Daily,"Mortgage Advice Bureau (LON:MAB1) Insider Buys £2,027.52 in Stock",,,,9c204332b8cca13642c5f5b064e4618b,business,united states of america,,false,,"mortgage advice bureau,stocks,mab1,lon:mab1,financial service,insider trades,insider trading",english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/themarketsdaily.png,1319461,https://www.themarketsdaily.com,
NEWSDATA,756ea5ce-7a13-4a65-af26-becc15f389c1,"It seems you haven't provided an article for me to summarize. Please share the article with me, and I will:

1. Summarize the article
2. Generate a few suggested tags (comma-separated)",,ONLY AVAILABLE IN PAID PLANS,,kim johansen,"Ocado Group plc (LON:OCDO – Get Free Report) insider Stephen Daintith purchased 82 shares of the business’s stock in a transaction on Wednesday, April 15th. The shares were bought at an average price of GBX 183 per share, for a total transaction of £150.06. Stephen Daintith also recently made the following trade(s): On Monday, March [...]",https://www.marketbeat.com/logos/ocado-group-plc-logo-1200x675.png?v=20240531125857,https://www.themarketsdaily.com/2026/04/19/insider-buying-ocado-group-lonocdo-insider-buys-150-06-in-stock.html,,,themarketsdaily,Markets Daily,Insider Buying: Ocado Group (LON:OCDO) Insider Buys £150.06 in Stock,,,,87110225f1c29a9854f225c6f145dc61,business,united states of america,,false,,"stocks,ocado group,insider trades,insider trading,consumer defensive,ocdo,lon:ocdo",english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/themarketsdaily.png,1319461,https://www.themarketsdaily.com,
NEWSDATA,f6f06a24-7818-44d5-9a66-9932c0828430,"It seems like you're trying to input an article, but you haven't provided one. Please paste the article you'd like me to summarize and suggest tags for.",,ONLY AVAILABLE IN PAID PLANS,,mohd haider,"Tesla is expanding its robotaxi service to Dallas and Houston after its Austin launch, as it scales its driverless ride network across Texas. Importance Rank: 1 read more",https://cdn.benzinga.com/files/images/story/2026/04/19/Tesla-robotaxi-Cybercab-and-Robovan-on-p.jpeg?optimize=medium&dpr=1&auto=webp&height=675&width=1200&fit=crop,https://www.benzinga.com/markets/tech/26/04/51903039/tesla-expands-robotaxi-rollout-to-dallas-houston-after-austin-launch-ahead-of-q1-earnings,,,benzinga,Benzinga,"Tesla Expands Robotaxi Rollout To Dallas, Houston After Austin Launch Ahead Of Q1 Earnings",,,,1c3e3c22c61a521960da1261a4be7942,"top,technology",united states of america,,false,,"""tag: mobility"",""symbol: uber"",""tag: elon musk"",""tag: electric vehicles"",""category: tech"",""tag: robotaxi"",""symbol: tsla"",""cms: wordpress"",""pageisbzpro: bz"",""category: news"",""category: equities"",""category: markets""",english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/benzinga.png,2050,https://www.benzinga.com,
NEWSDATA,fd317013-dcbe-4bf9-a7d8-9a78e985a4ef,"Please provide the article you'd like me to summarize, so I can assist you accordingly.",,ONLY AVAILABLE IN PAID PLANS,,stacy sanders,"Dr. Martens plc (LON:DOCS – Get Free Report) insider Ije Nwokori sold 204,051 shares of the business’s stock in a transaction that occurred on Wednesday, April 15th. The stock was sold at an average price of GBX 66, for a total transaction of £134,673.66. Ije Nwokori also recently made the following trade(s): On Tuesday, April [...]",https://www.marketbeat.com/logos/dr-martens-plc-logo-1200x675.JPG?v=20210618150748,https://www.dailypolitical.com/2026/04/18/dr-martens-londocs-insider-sells-134673-66-in-stock.html,,,dailypolitical,Daily Political,"Dr. Martens (LON:DOCS) Insider Sells £134,673.66 in Stock",,,,bb70f3e85e8a216d29ff2ce96bcecb8e,politics,united states of america,,false,,"lon:docs,dr. martens,consumer cyclical,insider trading,stocks,docs,insider trades",english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/dailypolitical.png,1152138,https://www.dailypolitical.com,
